text,img,table,file,answer
"На вход программы поступает последовательность из N целых положительных чисел. Рассматриваются все пары различных элементов последовательности (элементы пары не обязаны стоять в последовательности рядом, порядок элементов в паре не важен). Необходимо определить количество пар, для которых произведение элементов делится на 26. ",,,,
,set(),,,
,,,,
,,,set(),
,,,,19 199360639
text,img,table,file,answer
"На вход программы поступает последовательность из n целых положительных чисел. Рассматриваются все пары элементов последовательности ai и aj, такие что i < j и ai > aj (первый элемент пары больше второго; i и j  — порядковые номера чисел в последовательности входных данных). Среди пар, удовлетворяющих этому условию, необходимо найти и напечатать пару с максимальной суммой элементов, которая делится на m  =  120. Если среди найденных пар максимальную сумму имеют несколько, то можно напечатать любую из них.",,,,
,set(),,,
,,,,
,,,set(),
,,,,8096 6544 9977 9943|8096 6544 9982 9938|8096 6544 9967 9953|8096 6544 9990 9930|8096 6544 9987 9933|8096 6544 9978 9942|8096 6544 9998 9922|8096 6544 9982 9938|8096 6544 9979 9941|8096 6544 9966 9954|8096 6544 9993 9927|8096 6544 9999 9921|8096 6544 9981 9939|8096 6544 9975 9945|8096 6544 9964 9956
text,img,table,file,answer
"Дана последовательность N целых положительных чисел. Рассматриваются все пары элементов последовательности, разность которых чётна, и в этих парах, по крайней мере, одно из чисел пары делится на 17. Порядок элементов в паре неважен. Среди всех таких пар нужно найти и вывести пару с максимальной суммой элементов. Если одинаковую максимальную сумму имеет несколько пар, можно вывести любую из них. Если подходящих пар в последовательности нет, нужно вывести два нуля.",,,,
,set(),,,
,,,,
,,,set(),
,,,,8759 3077 10000 9996|3077 8759 10000 9996|3077 8759 9996 10000|8759 3077 9996 10000
text,img,table,file,answer
"Набор данных состоит из нечётного количества пар натуральных чисел. Необходимо выбрать из каждой пары ровно одно число так, чтобы чётность суммы выбранных чисел совпадала с чётностью большинства выбранных чисел и при этом сумма выбранных чисел была как можно больше. Определите максимальную сумму, которую можно получить при таком выборе. Гарантируется, что удовлетворяющий условиям выбор возможен.",,,,
,set(),,,
,,,,
,,,set(),
,,,,121184 36898658
text,img,table,file,answer
"Дана последовательность целых чисел. Необходимо найти максимально возможную сумму её непрерывной подпоследовательности, в которой количество положительных чётных элементов кратно k  =  30.",,,,
,set(),,,
,,,,
,,,set(),
,,,,97011 24932
text,img,table,file,answer
"На вход программы поступает последовательность из N целых положительных чисел. Рассматриваются все пары различных элементов последовательности (элементы пары не обязаны стоять в последовательности рядом, порядок элементов в паре неважен). Необходимо определить количество пар, для которых произведение элементов кратно 62.",,,,
,set(),,,
,,,,
,,,set(),
,,,,0 82307095
text,img,table,file,answer
"Дана последовательность натуральных чисел. Необходимо найти максимально возможную сумму её непрерывной подпоследовательности, в которой количество нечётных элементов кратно k  =  10. ",,,,
,set(),,,
,,,,
,,,set(),
,,,,4777208 979268310
text,img,table,file,answer
"Дана последовательность натуральных чисел. Необходимо найти максимально возможную сумму её непрерывной подпоследовательности, в которой количество чётных элементов кратно k  =  10. ",,,,
,set(),,,
,,,,
,,,set(),
,,,,4779554 979258630
text,img,table,file,answer
"Дана последовательность натуральных чисел. Необходимо определить количество её непрерывных подпоследовательностей, сумма элементов которых кратна 999. ",,,,
,set(),,,
,,,,
,,,set(),
,,,,403 1801801220
text,img,table,file,answer
"Дана последовательность натуральных чисел. Необходимо определить количество её непрерывных подпоследовательностей, сумма элементов которых кратна 1111. ",,,,
,set(),,,
,,,,
,,,set(),
,,,,344 1620157920
text,img,table,file,answer
"В текстовом файле содержится некоторое количество натуральных чисел. Определите и запишите в ответ максимальную сумму трех чисел, чтобы любые два числа находились на расстоянии не менее К друг от друга.  ",,,,
,set(),,,
,,,,
,,,set(),
,,,,2411 10713426
text,img,table,file,answer
"Дана последовательность натуральных чисел. Назовём парой любые два числа из последовательности. Необходимо определить количество пар, в которых сумма чисел в паре делится без остатка на 3, а их произведение  — на 4096.  ",,,,
,set(),,,
,,,,
,,,set(),
,,,,80 572809515
text,img,table,file,answer
По каналу связи передаётся последовательность целых чисел  — показания прибора. В течение N мин. (N  — натуральное число) прибор ежеминутно регистрирует значение силы тока (в условных единицах) в электрической сети и передаёт его на сервер.,,,,
,set(),,,
,,,,
,,,set(),
,,,,166998 15102
text,img,table,file,answer
"Дана последовательность целых чисел. Расстояние между элементами последовательности  — это разность их порядковых номеров. Например, если два элемента стоят в последовательности рядом, расстояние между ними",,,,
,set(),,,
,,,,
,,,set(),
,,,,215226 23922
text,img,table,file,answer
"На каждом 3-м километре кольцевой автодороги с двусторонним движением установлены контейнеры для мусора. Длина кольцевой автодороги равна 3N километров. Нулевой километр и 3N-й километр автодороги находятся в одной точке. Известно количество мусора, которое накапливается ежедневно в каждом из контейнеров. Из каждого пункта мусор вывозит отдельный мусоровоз. Стоимость доставки мусора вычисляется как произведение количества мусора на расстояние от пункта до центра переработки. Центр переработки отходов открыли в одном из пунктов сбора мусора таким образом, чтобы общая стоимость доставки мусора из всех пунктов в этот центр была минимальной.",,,,
,set(),,,
,,,,
,,,set(),
,,,,471228 49113954961677
text,img,table,file,answer
"Дана последовательность натуральных чисел. Расстояние между элементами последовательности  — это разность их порядковых номеров. Например, если два элемента стоят в последовательности рядом, расстояние между ними равно 1, если два элемента стоят через один  — расстояние равно 2 и т. д. Назовём парой любые два числа из последовательности. Необходимо определить количество пар, в которых сумма элементов и расстояние между ними имеют равные остатки от деления на 9.",,,,
,set(),,,
,,,,
